Recipe ID,Nama Resep,Energi (kj),Energi (kkal),Lemak (g),Lemak Jenuh (g),Lemak Trans (g),Lemak tak Jenuh Ganda (g),Lemak tak Jenuh Tunggal (g),Kolesterol (mg),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (mg),Kalium (mg),Kategori,Keywords,PrepTime,CookTime,Ingredients,Instructioons,Meal Category
1,Roti Pisang Oat,807,193,6.93,0.653,0.167,0.535,0.932,35.0,4.28,29.77,3.3,15.16,55.0,123.0,"""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi"",""Roti & Produk Panggang""","""Ini sangat mudah dan lezat.""",10 menit,40 menit,"""2 besar telur"",""2 besar pisang"",""1 tsp baking powder (sodium aluminum sulfate"",""double acting)"",""6 sdm honey"",""170 g quick cooking oatmeal"",""54 g roasted almond"",""100 g choco chips""","""Panaskan oven terlebih dahulu pada suhu 170°C."",""Hancurkan pisang"",""campur dengan telur dan madu."",""Giling oatmeal dan campur dengan baking powder."",""Aduk bahan basah dan kering hingga rata"",""tambahkan coklat keping tapi sisakan sedikit untuk topping."",""Tuang ke dalam loyang dan taburi dengan sisa choco chips dan almond. Panggang selama 40 menit atau sampai matang.""",sarapan
2,Donat,444,106,1.73,0.634,0.0,0.205,0.528,43.0,3.7,19.3,0.1,3.46,0.01,26.0,"""Makan Pagi"",""Makanan Penutup"",""Makanan Ringan"",""Roti & Produk Panggang""","""Sederhana"",""lembut dan mudah dibuat.""",20 menit,15 menit,"""3 gram ragi"",""40 gram kuning telur"",""30 gram gula pasir"",""130 ml susu uht full cream"",""15 g susu"",""250 g tepung terigu cakra kembar""","""Campur semua bahan kering."",""Tambahkan semua bahan basah dan uleni hingga halus."",""Diamkan hingga ukurannya dua kali lipat."",""Bentuk adonan dan goreng hingga berwarna cokelat keemasan.""",sarapan
3,Muffin Oat Pisang,571,136,2.98,0.593,0.0,0.714,0.001203,37.0,4.02,23.62,2.5,5.93,295.0,138.0,"""Roti & Produk Panggang"",""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi""","""Enak dan sedikit manis"",""cocok untuk camilan atau sarapan.""",10 menit,25 menit,"""1 sedang telur"",""1 sdt ekstrak vanila"",""154 gram pisang"",""5 gram baking soda"",""6 gram madu"",""100 g quick cooking oatmeal"",""50 g squeeze yoghurt""","""Masukan semua bahan pada blender."",""Setelah tercampur"",""bagi adonan ke dalam cetakan."",""Panggang dengan suhu 175°C selama 25 menit.""",sarapan
4,Banana Bread Oats,1032,247,8.53,0.001231,0.0,0.001202,0.00224,106.0,8.84,32.96,4.4,7.64,76.0,142.0,"""Makanan Penutup"",""Roti & Produk Panggang"",""Makan Pagi"",""Makanan Ringan""","""Kue pisang cup""",15 menit,15 menit,"""2 besar telur"",""1 sdt kayu manis"",""115 g banana"",""120 g instant oatmeal grain"",""120 ml almond breeze vanilla"",""10 g baking powder"",""13 g 1/3 pb original"",""20 g fineza chocolate button""","""Panaskan oven/airfryer dengan suhu 160°C selama 10 menit."",""Sementara itu"",""campurkan semua bahan dalam blender"",""kecuali coklat kancing."",""Blender adonan hingga halus. Tuang ke dalam cangkir aluminium dan hiasi tombol cokelat di atasnya."",""Panggang adonan dengan suhu 160°C selama 15 menit.""",sarapan
5,Bilah Energi Oatmeal Cokelat,386,92,3.61,0.552,0.0,0.674,0.572,0.0,2.06,13.29,0.0,7.44,26.0,71.0,"""Makanan Penutup"",""Makanan Ringan""","""Enak"",""kenyal"",""dan mudah dibuat.""",30 menit,.,"""25 gram biji bunga matahari (yang) dikuliti sangrai kering"",""60 gram kurma"",""40 gram kismis (tanpa biji)"",""20 gram kacang almond panggang kering (tanpa tambahan garam)"",""20 g choco chips"",""60 g selai kacang"",""150 g oatmeal"",""100 g madu tj murni""","""Sangrai oatmeal sampai kecoklatan. Dinginkan sampai suhu ruang."",""Cincang kurma dengan halus."",""Campur semua bahan dalam satu wadah menggunakan spatula."",""Pindahkan pada wadah"",""padatkan"",""tutup rapat. Simpan pada frezer minimal 30 menit."",""Potong menjadi batangan.""",sarapan
8,Kue Gandum Pisang,433,103,1.93,0.429,0.0,0.00052,0.684,31.0,3.18,19.26,1.5,5.35,12.0,102.0,"""Roti & Produk Panggang"",""Makan Pagi"",""Makanan Ringan""","""Sarapan panggang sederhana dan cepat.""",30 menit,30 menit,"""30 gram susu"",""1 ekstra besar telur"",""175 gram pisang"",""1 sdm madu"",""50 gram tepung terigu putih (semua keperluan)"",""10 g bubuk pengembang"",""80 g gulungan gandum""","""Kupas dan haluskan pisang. Campur dengan telur"",""susu"",""dan madu."",""Tambahkan bahan kering dan aduk rata."",""Pindahkan ke loyang dan masak dalam oven dengan suhu 180°C selama 30 menit."",""Biarkan dingin"",""buka cetakannya"",""dan potong-potong.""",sarapan
9,Gandum dengan Buah,1050,251,3.8,0.0015249999999999,0.085,0.0,0.00075,5.0,4.57,50.22,4.4,21.3,16.0,96.0,"""Makan Pagi"",""Makanan Ringan""","""Sarapan cepat dan enak.""",10 menit,10 menit,"""1 sdm madu"",""1 gelas yogurt stroberi"",""3 sdm gandum"",""100 g buah naga"",""100 g apel""","""Masak gandum dengan air sesuai kemasan."",""Pindahkan ke mangkuk lalu tambahkan yogurt."",""Iris buah dan tambahkan ke mangkuk. Gerimis dengan madu.""",sarapan
10,Sandwich Telur Dadar,1280,306,11.59,0.004111,0.0,0.001451,0.003107,217.0,13.63,36.48,7.6,5.77,435.0,373.0,"""Makan Pagi"",""Makanan Ringan""","""Sarapan atau snack menggunakan 4 bahan.""",15 menit,.,"""1 daun sedang selada"",""1 besar telur dadar"",""1 utuh sedang tomat merah"",""1 lembar roti tawar gandum""","""Panggang roti dalam wajan antilengket selama satu menit di setiap sisi."",""Atur telur dadar dan sayuran di dalam roti."",""Iris dan sajikan.""",sarapan
11,Banana Oats Coklat,1316,314,10.7,0.004977,0.0001,0.498,0.002488,0.14,12.27,45.52,6.4,11.6,728.0,584.0,"""Roti & Produk Panggang"",""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi""","""Camilan lezat"",""lembab"",""dan kaya serat.""",10 menit,20 menit,"""61 gram telur"",""1 sdt ekstrak vanila"",""157 gram pisang"",""1 sdt baking soda"",""11 gram kakao bubuk (tanpa gula)"",""6 g unsalted butter"",""49 g oat"",""200 ml susu uht low fat"",""6 g choco chips""","""Haluskan pisang."",""Tambahkan oat"",""coklat bubuk"",""vanilla"",""dan baking soda"",""lalu aduk."",""Setelah adonan tercampur rata"",""masukkan susu"",""telur dan mentega cair."",""Tuang ke dalam cetakan yang dialasi kertas roti dan taburi choco chips."",""Panggang dengan suhu 180°C selama 20 menit.""",sarapan
12,Wafel,967,231,11.32,0.007194,0.0004,0.218,0.475,49.0,4.78,26.41,0.6,4.71,0.26,106.0,"""Makanan Ringan"",""Makan Pagi""","""Sarapan atau camilan enak.""",10 menit,20 menit,"""240 ml susu"",""1/2 besar telur"",""120 gram tepung putih"",""1/2 sdt garam"",""1/2 sdt ekstrak vanila"",""10 gram gula pasir"",""60 g mentega tawar"",""20 g tepung pati jagung"",""2 g bubuk pengembang""","""Hangatkan susu tapi tidak mendidih"",""tambahkan butter"",""aduk hingga butter meleleh"",""sisihkan."",""Campur bahan kering jadi satu."",""Tambahkan telur ke dalam susu lalu masukkan ekstrak vanili."",""Campur semuanya sampai halus. Diamkan selama 15 menit."",""Masak dalam waffle iron hingga berwarna keemasan."",""Sajikan dengan buah atau topping yang Anda inginkan.""",sarapan
